key,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SEFL,0.536687,0.532781,0.523408,0.567394,0.466102,0.483803,0.485398,0.524995,0.485990,0.474843,0.446514,0.459742,0.437000,0.436017,0.474991,0.461005,0.482010,0.499995,0.515005,0.478990,0.478033,0.490995,0.502005,0.515995,0.503990,0.543005,0.494995,0.554994,0.476005
SEFM,0.336846,0.329721,0.325497,0.320352,0.278450,0.280202,0.258745,0.252997,0.246995,0.250556,0.254139,0.288605,0.274000,0.267011,0.303994,0.299003,0.304006,0.302997,0.297003,0.291994,0.269019,0.265997,0.278003,0.287997,0.322994,0.380004,0.339997,0.219998,0.262003
SEFN,0.804516,0.771025,0.773558,0.762217,0.716303,0.705546,0.626805,0.609994,0.605988,0.608204,0.614590,0.659234,0.719000,0.695028,0.715986,0.708007,0.703014,0.698993,0.687007,0.669987,0.612043,0.615994,0.642006,0.665993,0.662987,0.728007,0.729993,0.630994,0.675007
SEFP,,0.283480,0.276271,0.267127,0.259282,0.256012,0.280809,0.274997,0.303994,0.307133,0.325014,0.336199,0.233000,0.231009,0.245995,0.235002,0.252005,0.255997,0.290003,0.278994,0.260018,0.252997,0.261003,0.263997,0.269995,0.311003,0.297997,0.264997,0.320003
SEFR,0.388352,0.378978,0.374724,0.364538,0.317797,0.316488,0.305881,0.295997,0.301994,0.305112,0.280464,0.303794,0.295000,0.297012,0.306994,0.305003,0.298006,0.298997,0.297003,0.288994,0.282020,0.276997,0.262003,0.269997,0.276994,0.302003,0.294997,0.331997,0.328003
SEFS,0.299762,0.310621,0.289331,0.289221,0.267353,0.253996,0.251725,0.257997,0.230995,0.229339,0.207563,0.244048,0.232000,0.232009,0.262995,0.263003,0.245005,0.244998,0.240002,0.230995,0.217015,0.211998,0.209002,0.211998,0.229995,0.260003,0.251997,0.249998,0.231002
SEFT,1.344294,1.322906,1.307012,1.288437,1.242938,1.214546,1.213495,1.162988,1.243975,1.226510,1.386119,1.499732,1.496000,1.466059,1.702966,1.711017,1.485030,1.498985,1.496015,1.465971,1.365096,1.343987,1.453015,1.488985,1.645967,1.785018,1.645984,1.755982,1.714017
SEFV,5.851025,5.760068,5.738397,5.681978,6.275222,6.265245,6.144697,6.112939,5.952881,6.050717,6.250190,6.555883,5.937000,5.926237,5.668887,5.713057,5.704114,5.829942,5.785058,5.798884,6.002420,6.054939,6.191062,6.346937,5.204896,4.803048,5.387946,5.647944,5.373054
SEFW,0.646909,0.630290,0.629898,0.623632,0.688055,0.684379,0.643854,0.634994,0.715986,0.715296,0.616615,0.643031,0.623000,0.614025,0.571989,0.568006,0.597012,0.596994,0.592006,0.583988,0.607042,0.604994,0.572006,0.579994,0.592988,0.513005,0.476995,0.448996,0.397004
SEFX,0.365689,0.361889,0.361664,0.361526,0.351090,0.352773,0.360037,0.360996,0.392992,0.403112,0.477902,0.498223,0.434000,0.437017,0.375992,0.381004,0.412008,0.417996,0.366004,0.366993,0.367026,0.367996,0.452005,0.457995,0.295994,0.332003,0.376996,0.386996,0.443004
