,gp,gp_q,pi_yoy,gw,gw_q,gp_core,grpe,grpf,slack,dmw,minwage,transfer_share,h,h_disc,cov_benchmark,lambda,wedge,scheme,populist,election,pistar,catchup,catchup_bb,real_wage,pigap,lvl_wage,lvl_price,lvl_minwage,lvl_benefit,lvl_handout,country
1979-04-01,14.462828633484692,14.048685661706095,14.462828633484692,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,17.09343067751545,,-5.41182226917101,,-2.6306020440307574,,16.158755010317734,,100.0,100.0,ES
1979-07-01,14.08695783415359,16.795639686244712,14.08695783415359,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,16.492136108843077,,-5.132447358943612,,-2.4051782746894865,,16.85169268607682,,100.0,100.0,ES
1979-10-01,14.487747769357506,12.689031173949417,14.487747769357506,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,16.091258440945964,,-3.899199968470578,,-1.6035106715884577,,17.394841310156234,,100.0,100.0,ES
1980-01-01,15.414072483169727,18.122933410778685,15.414072483169727,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,15.955821249390716,,-2.337008705353414,,-0.541748766220989,,18.201081572214807,,100.0,100.0,ES
1980-04-01,14.493895686563318,10.36797847528046,14.493895686563318,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,15.663436136825236,,-2.5995349909521313,,-1.169540450261918,,18.679019937467874,,100.0,100.0,ES
1980-07-01,14.083889400263372,15.155614541044926,14.083889400263372,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,15.347526789512864,,-2.4082467085797052,,-1.2636373892494923,,19.400328557948868,,100.0,100.0,ES
1980-10-01,13.944794540901162,12.132651736500577,13.944794540901162,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,15.066980339790524,,-2.146463900044802,,-1.1221857988893618,,19.99778727621022,,100.0,100.0,ES
1981-01-01,13.685366904482077,17.085222865102345,13.685366904482077,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,14.790657652728834,,-2.2704543449086394,-314.64491263340545,-1.105290748246757,13.016630695879956,20.870458462952094,,100.0,100.0,ES
1981-04-01,13.899736655872319,11.225457480841428,13.899736655872319,,79.54029487363407,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,14.61247345335753,,-1.7636994809529174,-297.56620328520734,-0.7127367974852117,15.880287518548528,21.46445544913478,,100.0,100.0,ES
1981-07-01,13.338077916936841,12.908979585303015,13.338077916936841,,82.64563851442492,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,14.357594346073393,,-2.009448872576023,-280.1320385529268,-1.0195164291365515,19.52494068152821,22.168464945674412,,100.0,100.0,ES
